object_id,player_name,is_hsv,pressure,compactness,lpc,pos,anticipation,synchronization,total_flagged
DFL-OBJ-J017VJ,Arnaud Dominique Nordin,False,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,2.0
DFL-OBJ-J01860,Aleix García Serrano,False,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J018BS,Rasmus Nissen Kristensen,False,1.0,0.0,1.0,0.0,0.0,1.0,3.0
DFL-OBJ-J019T5,Diogo Filipe Monteiro Pinto Leite,False,0.5,0.0,0.0,0.0,0.5,1.0,2.0
DFL-OBJ-J019UO,Stanley Pierre Nsoki,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J019ZE,Jonas Older Wind,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01A3I,Albert-Mboyo Sambi Lokonga,True,1.5,0.0,0.0,0.0,0.5,1.0,3.0
DFL-OBJ-J01AUU,Adrian Beck,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01AZQ,Omar Haktab Traoré,False,3.0,0.0,0.0,0.0,1.0,3.0,7.0
DFL-OBJ-J01B7D,Martin Albert Frederic Terrier,False,1.5,0.0,0.0,0.0,0.5,0.0,2.0
DFL-OBJ-J01BGD,Danel Sinani,False,0.5,0.0,1.0,0.0,0.5,0.0,2.0
DFL-OBJ-J01BKL,Han-Noah Massengo,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-J01C0A,Andreas Skov Olsen,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01CAD,Derrick Arthur Köhn,False,1.0,1.0,1.0,0.0,0.0,1.0,4.0
DFL-OBJ-J01D4G,Franck Honorat,False,4.333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,4.999999999999999
DFL-OBJ-J01D90,Wouter Burger,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01D9B,Ramon Hendriks,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J01DA7,Luis Fernando Díaz Marulanda,False,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333,1.0,2.0
DFL-OBJ-J01DAB,Fabio Daniel Soares Silva,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01DCO,Yukinari Sugawara,False,2.333333333333333,1.0,2.0,0.3333333333333333,2.333333333333333,2.0,10.0
DFL-OBJ-J01DKU,Benedict Hollerbach,False,2.8333333333333335,0.0,0.0,0.3333333333333333,0.8333333333333333,9.0,13.0
DFL-OBJ-J01DNM,Nathaniel Brown,False,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01DOV,Castello Junior Lukeba,False,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J01E9X,Karim David Adeyemi,False,2.0,0.0,0.0,0.0,1.0,1.0,4.0
DFL-OBJ-J01EAG,Tiago Barreiros de Melo Tomás,False,1.0,0.0,0.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01EAQ,Mikkel Kaufmann Sörensen,False,2.5,0.0,0.0,0.0,2.5,1.0,6.0
DFL-OBJ-J01EAZ,Arijon Ibrahimović,False,1.0,0.0,0.0,0.0,1.0,3.0,5.0
DFL-OBJ-J01FDE,Arnaud Kalimuendo Muinga,False,1.5,0.0,1.0,0.0,0.5,2.0,5.0
DFL-OBJ-J01FRO,Fábio Daniel Ferreira Vieira,True,12.166666666666666,0.0,3.0,1.1666666666666665,11.666666666666666,6.0,34.0
DFL-OBJ-J01FUR,Alexis Julian Claude-Maurice,False,4.0,0.0,1.0,1.0,3.0,0.0,9.0
DFL-OBJ-J01FYE,Jakub Piotr Kamiński,False,1.0,0.0,0.0,0.0,0.0,2.0,3.0
DFL-OBJ-J01G0J,Adam Hložek,False,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J01G5F,Warmed Omari,True,2.0,0.0,0.0,0.0,2.0,2.0,6.0
DFL-OBJ-J01G82,Fabian Rieder,False,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01GTD,Jesper Gränge Lindström,False,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01H5G,Nicolas Capaldo Taboas,True,5.0,0.0,2.0,0.0,3.0,2.0,12.0
DFL-OBJ-J01HP7,Miro Max Maria Muheim,True,8.833333333333334,3.0,6.0,1.8333333333333333,13.333333333333334,13.0,46.0
DFL-OBJ-J01IB2,Jordy Makengo Basambundu,False,2.0,0.0,0.0,1.0,0.0,0.0,3.0
DFL-OBJ-J01IB3,Yannik Engelhardt,False,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01ISO,Elias Saad,False,0.8333333333333333,0.0,0.0,0.3333333333333333,0.8333333333333333,0.0,1.9999999999999998
DFL-OBJ-J01IZ9,Nicolai Remberg,True,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01K2X,Anton Kade,False,2.5,0.0,1.0,0.0,0.5,3.0,7.0
DFL-OBJ-J01K33,Patrick Wimmer,False,2.5,0.0,2.0,1.0,0.5,4.0,10.0
DFL-OBJ-J01KA5,Max Moerstedt,False,0.0,1.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-J01KAJ,Keke Maximilian Topp,False,3.0,0.0,0.0,1.0,2.0,2.0,8.0
DFL-OBJ-J01KAL,Lukas Ullrich,False,0.0,0.0,0.0,0.0,0.0,3.0,3.0
