time_block,TPR,game_state
15-30,0.5826877510888021,level
15-30,0.5310480163889595,level
15-30,0.4509456337233525,level
15-30,0.3966400900373033,level
15-30,0.3610225945604722,level
15-30,0.3756865883752269,level
15-30,0.4875702979219084,level
15-30,0.3872833713624039,level
15-30,0.3838767981266159,level
15-30,0.3210853211023049,level
15-30,0.3484691984590902,level
15-30,0.3733741976140192,level
15-30,0.3900619252625502,level
15-30,0.3935751417803972,level
15-30,0.326534607544942,level
15-30,0.2491002513944051,level
15-30,0.2873331042101663,level
15-30,0.346864414881456,level
15-30,0.5418125488437056,level
15-30,0.3200988329574483,level
15-30,0.3748040228517706,level
15-30,0.3805132028817193,level
15-30,0.2892403376603521,level
15-30,0.2288239551804685,level
15-30,0.2745323738742343,level
15-30,0.2630607769547222,level
15-30,0.273698839788489,level
15-30,0.334900193891586,level
