object_id,player_name,match_id,times_flagged,avg_gap_m
DFL-OBJ-0001UP,Jonathan Glao Tah,DFL-MAT-J041UO,21,30.20224284689418
DFL-OBJ-J01KAI,Tom Alexander Rothe,DFL-MAT-J041VB,21,24.79928998260542
DFL-OBJ-J01KEM,Nelson Felix Patrick Weiper,DFL-MAT-J041VN,21,29.631526951689196
DFL-OBJ-J01DA7,Luis Fernando Díaz Marulanda,DFL-MAT-J041UO,21,28.20365730117729
DFL-OBJ-002FW5,Amos Pieper,DFL-MAT-J041XE,20,22.67725794099063
DFL-OBJ-J01WS3,Ilyas Ansah,DFL-MAT-J041VB,20,28.61304294057403
DFL-OBJ-J019VX,Joël Pascal Schmied,DFL-MAT-J041WE,20,26.049335388631114
DFL-OBJ-J01EAQ,Mikkel Kaufmann Sörensen,DFL-MAT-J041V5,20,30.436668728753812
DFL-OBJ-J01VX4,Hugo Emanuel Larsson,DFL-MAT-J0421Z,20,31.763129184733838
DFL-OBJ-J01DA7,Luis Fernando Díaz Marulanda,DFL-MAT-J041Z5,20,29.780332282004384
DFL-OBJ-J01NAE,Jan Bürger,DFL-MAT-J0420A,20,25.056521913481337
DFL-OBJ-J0231Z,Bazoumana Toure,DFL-MAT-J0421W,20,34.147163541867045
DFL-OBJ-002G5R,Silas Katompa Mvumpa,DFL-MAT-J041ZQ,19,24.63080451886798
DFL-OBJ-0001E5,Jonas Hofmann,DFL-MAT-J0422G,19,29.698760519048033
DFL-OBJ-0027B9,Lucas Höler,DFL-MAT-J041Y0,19,28.834512326675927
DFL-OBJ-0028T0,Marvin Pieringer,DFL-MAT-J041ZD,19,30.562835054431964
DFL-OBJ-J01GQO,Danilho Raimundo Doekhi,DFL-MAT-J041VB,19,39.22807485123229
DFL-OBJ-0027FU,Bernardo Fernandes da Silva Junior,DFL-MAT-J0421W,19,28.89675389010129
DFL-OBJ-J01ND7,Brajan Gruda,DFL-MAT-J04205,19,28.053135937709186
DFL-OBJ-002G4W,Philipp Treu,DFL-MAT-J041Y0,18,25.86675932256442
DFL-OBJ-J01UD5,Lennart Karl,DFL-MAT-J041Z5,18,29.995725580617016
DFL-OBJ-0027YK,Deniz Undav,DFL-MAT-J04219,18,22.855141442840875
DFL-OBJ-0027FW,Oliver Jasen Burke,DFL-MAT-J041VB,18,29.685281090553403
DFL-OBJ-J01GSF,Ísak Bergmann Jóhannesson,DFL-MAT-J041WE,18,26.932242907278905
DFL-OBJ-J01E9X,Karim David Adeyemi,DFL-MAT-J041WN,18,31.07662812265082
DFL-OBJ-J01ZQD,Saïd El Mala,DFL-MAT-J0420N,18,25.23327623912432
DFL-OBJ-J01LMN,Can Yılmaz Uzun,DFL-MAT-J0421Z,18,29.73842100923817
DFL-OBJ-J01TPA,Jean-Mattéo Bahoya Négoce,DFL-MAT-J0421Z,17,43.38182428444503
DFL-OBJ-002GG7,Pharrell Nnamdi Collins,DFL-MAT-J041XW,17,28.35420708361802
DFL-OBJ-00278S,Serhou Yadaly Guirassy,DFL-MAT-J041WN,17,29.479712041597413
DFL-OBJ-J01KK4,Antonio Eromonsele Nordby Nusa,DFL-MAT-J04205,17,22.46473329798596
DFL-OBJ-002GJN,Ritsu Dōan,DFL-MAT-J041XW,17,30.493509765459855
DFL-OBJ-J0244R,Ricky-Jade Jones,DFL-MAT-J041YV,17,27.996457431960767
DFL-OBJ-0000XU,Dominique Heintz,DFL-MAT-J041WE,17,35.70978144646536
DFL-OBJ-002GBW,Tim Lemperle,DFL-MAT-J041XN,16,24.73310271601383
DFL-OBJ-J01RKL,Joel Chima Fujita,DFL-MAT-J041YV,16,23.238825090314045
DFL-OBJ-J01KEV,Mert Kömür,DFL-MAT-J041WT,16,30.33277277128343
DFL-OBJ-J01D1W,Julian Jeffrey Gaston Chabot,DFL-MAT-J04219,16,12.57760125938849
DFL-OBJ-002GMV,Igor Matanović,DFL-MAT-J0422E,16,27.558183848103894
DFL-OBJ-002GMV,Igor Matanović,DFL-MAT-J041Y0,16,13.635758452169211
DFL-OBJ-J0248A,Andréas William Edwin Hountondji,DFL-MAT-J041UN,15,33.77623225603091
DFL-OBJ-0028BD,Linton Maina,DFL-MAT-J041WE,15,25.977407818470905
DFL-OBJ-J01UCR,Sebastian Söraas Sebulonsen,DFL-MAT-J041WE,15,26.971407632405054
DFL-OBJ-00015H,Dominik Kohr,DFL-MAT-J041VN,15,29.19230982125767
DFL-OBJ-J01FUR,Alexis Julian Claude-Maurice,DFL-MAT-J04215,14,23.34524092461182
