object_id,player_name,is_hsv,phase,pressure,compactness,lpc,pos,anticipation,synchronization,total_flagged
DFL-OBJ-J01FDE,Arnaud Kalimuendo Muinga,False,high_press,0.0,0.0,1.0,0.0,0.0,0.0,1.0
DFL-OBJ-J01FDE,Arnaud Kalimuendo Muinga,False,low_press,1.0,0.0,0.0,0.0,0.0,2.0,3.0
DFL-OBJ-J01FDE,Arnaud Kalimuendo Muinga,False,transition,0.5,0.0,0.0,0.0,0.5,0.0,1.0
DFL-OBJ-J01FRO,Fábio Daniel Ferreira Vieira,True,high_press,1.0,0.0,1.0,0.0,1.0,1.0,4.0
DFL-OBJ-J01FRO,Fábio Daniel Ferreira Vieira,True,low_press,9.666666666666666,0.0,2.0,1.1666666666666665,9.166666666666666,4.0,26.0
DFL-OBJ-J01FRO,Fábio Daniel Ferreira Vieira,True,mid_press,0.5,0.0,0.0,0.0,0.5,1.0,2.0
DFL-OBJ-J01FRO,Fábio Daniel Ferreira Vieira,True,transition,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01FUR,Alexis Julian Claude-Maurice,False,low_press,3.0,0.0,1.0,1.0,2.0,0.0,7.0
DFL-OBJ-J01FUR,Alexis Julian Claude-Maurice,False,transition,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01FYE,Jakub Piotr Kamiński,False,low_press,1.0,0.0,0.0,0.0,0.0,1.0,2.0
DFL-OBJ-J01FYE,Jakub Piotr Kamiński,False,mid_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J01G0J,Adam Hložek,False,low_press,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J01G5F,Warmed Omari,True,low_press,0.5,0.0,0.0,0.0,0.5,1.0,2.0
DFL-OBJ-J01G5F,Warmed Omari,True,mid_press,1.5,0.0,0.0,0.0,1.5,0.0,3.0
DFL-OBJ-J01G5F,Warmed Omari,True,transition,0.0,0.0,0.0,0.0,0.0,1.0,1.0
DFL-OBJ-J01G82,Fabian Rieder,False,low_press,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01GTD,Jesper Gränge Lindström,False,low_press,1.0,0.0,0.0,0.0,1.0,0.0,2.0
DFL-OBJ-J01H5G,Nicolas Capaldo Taboas,True,high_press,0.0,0.0,0.0,0.0,1.0,0.0,1.0
DFL-OBJ-J01H5G,Nicolas Capaldo Taboas,True,low_press,5.0,0.0,2.0,0.0,2.0,2.0,11.0
DFL-OBJ-J01HP7,Miro Max Maria Muheim,True,high_press,1.0,0.0,0.0,0.0,2.0,2.0,5.0
